Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
ArischiaL'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-19
AtessaAtessa (CH),Buona,18,--,--,0.40,--,--,--,1.1,--,2022-12-19
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-12-19
Cepagatti ASLCepagatti (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-19
FrancavillaFrancavilla al mare (CH),Accettabile,18,11,22,--,--,34,31,0.9,--,2022-12-19
GammaranaTeramo (TE),n.d.,--,n.d.,n.d.,--,--,--,--,--,--,2022-12-19
MontesilvanoMontesilvano (PE),Accettabile,17,12,29,0.77,--,--,--,1.0,--,2022-12-19
Ortona Villa CaldariOrtona (CH),Accettabile,18,15,16,0.29,--,38,35,1.2,--,2022-12-19
Porta RealeTeramo (TE),n.d.,n.d.,--,n.d.,n.d.,--,--,--,n.d.,--,2022-12-19
S. GregorioS. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-19
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Buona,--,--,4,--,--,59,55,1.2,415.9,2022-12-19
Scuola AntonelliChieti Scalo (CH),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2022-12-19
T. D'AnnunzioPescara (PE),Buona,15,10,33,0.35,0,39,33,0.9,--,2022-12-19
Via AmiternumL'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2022-12-19
Via FirenzePescara (PE),n.d.,n.d.,n.d.,n.d.,n.d.,--,--,--,n.d.,--,2022-12-19
Via SaccoPescara (PE),Accettabile,27,--,33,--,--,39,32,--,--,2022-12-19
ArischiaL'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-18
AtessaAtessa (CH),Buona,16,--,--,0.35,--,--,--,0.7,--,2022-12-18
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-12-18
Cepagatti ASLCepagatti (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-18
FrancavillaFrancavilla al mare (CH),Buona,19,10,31,--,--,51,53,0.7,--,2022-12-18
GammaranaTeramo (TE),n.d.,--,n.d.,n.d.,--,--,--,--,--,--,2022-12-18
MontesilvanoMontesilvano (PE),Accettabile,22,12,25,0.74,--,--,--,0.9,--,2022-12-18
Ortona Villa CaldariOrtona (CH),Accettabile,17,12,28,0.29,--,69,67,0.8,--,2022-12-18
Porta RealeTeramo (TE),n.d.,n.d.,--,n.d.,n.d.,--,--,--,n.d.,--,2022-12-18
S. GregorioS. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-18
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,4,--,--,89,88,0.5,400.0,2022-12-18
Scuola AntonelliChieti Scalo (CH),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2022-12-18
T. D'AnnunzioPescara (PE),Buona,20,10,39,0.29,0,26,52,0.7,--,2022-12-18
Via AmiternumL'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2022-12-18
Via FirenzePescara (PE),n.d.,n.d.,n.d.,n.d.,n.d.,--,--,--,n.d.,--,2022-12-18
Via SaccoPescara (PE),Accettabile,25,--,33,--,--,32,57,--,--,2022-12-18
ArischiaL'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2022-12-17
