Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Via Sacco Pescara (PE),Accettabile,33,--,84,--,--,88,73,--,--,2023-02-04
Via Sacco Pescara (PE),Accettabile,31,--,74,--,--,69,57,--,--,2023-02-03
Via Sacco Pescara (PE),Mediocre,42,--,77,--,--,69,51,--,--,2023-02-02
Via Sacco Pescara (PE),Accettabile,31,--,71,--,--,71,58,--,--,2023-02-01
Via Sacco Pescara (PE),Accettabile,27,--,34,--,--,55,49,--,--,2023-01-31
Via Sacco Pescara (PE),Accettabile,27,--,48,--,--,41,34,--,--,2023-01-30
Via Sacco Pescara (PE),Accettabile,16,--,43,--,--,62,60,--,--,2023-01-29
Via Sacco Pescara (PE),Accettabile,19,--,42,--,--,56,47,--,--,2023-01-28
Via Sacco Pescara (PE),Accettabile,19,--,48,--,--,43,40,--,--,2023-01-27
Via Sacco Pescara (PE),Accettabile,17,--,56,--,--,60,47,--,--,2023-01-26
Via Sacco Pescara (PE),Accettabile,27,--,66,--,--,71,62,--,--,2023-01-25
Via Sacco Pescara (PE),Accettabile,29,--,42,--,--,59,50,--,--,2023-01-24
Via Sacco Pescara (PE),Buona,18,--,39,--,--,69,65,--,--,2023-01-23
Via Sacco Pescara (PE),Accettabile,18,--,49,--,--,73,68,--,--,2023-01-22
Via Sacco Pescara (PE),Accettabile,13,--,48,--,--,81,66,--,--,2023-01-21
Via Sacco Pescara (PE),Accettabile,9,--,33,--,--,83,79,--,--,2023-01-20
Via Sacco Pescara (PE),Accettabile,16,--,65,--,--,80,76,--,--,2023-01-19
Via Sacco Pescara (PE),Buona,13,--,24,--,--,77,72,--,--,2023-01-18
Via Sacco Pescara (PE),Accettabile,35,--,64,--,--,54,42,--,--,2023-01-17
Via Sacco Pescara (PE),Mediocre,37,--,55,--,--,64,46,--,--,2023-01-16
Via Sacco Pescara (PE),Mediocre,39,--,69,--,--,48,27,--,--,2023-01-15
Via Sacco Pescara (PE),Accettabile,27,--,70,--,--,53,42,--,--,2023-01-14
Via Sacco Pescara (PE),Accettabile,29,--,72,--,--,63,44,--,--,2023-01-13
Via Sacco Pescara (PE),Accettabile,12,--,60,--,--,78,68,--,--,2023-01-12
Via Sacco Pescara (PE),Accettabile,11,--,51,--,--,83,77,--,--,2023-01-11
Via Sacco Pescara (PE),Accettabile,27,--,29,--,--,75,69,--,--,2023-01-10
Via Sacco Pescara (PE),Accettabile,33,--,49,--,--,53,39,--,--,2023-01-09
Via Sacco Pescara (PE),Mediocre,38,--,44,--,--,53,38,--,--,2023-01-08
Via Sacco Pescara (PE),Mediocre,38,--,49,--,--,38,28,--,--,2023-01-07
Via Sacco Pescara (PE),Accettabile,34,--,30,--,--,31,27,--,--,2023-01-06
Via Sacco Pescara (PE),Mediocre,37,--,57,--,--,42,23,--,--,2023-01-05
Via Sacco Pescara (PE),Accettabile,34,--,38,--,--,24,23,--,--,2023-01-04
Via Sacco Pescara (PE),Mediocre,43,--,26,--,--,42,36,--,--,2023-01-03
Via Sacco Pescara (PE),Mediocre,48,--,47,--,--,35,25,--,--,2023-01-02
Via Sacco Pescara (PE),Mediocre,48,--,71,--,--,54,33,--,--,2023-01-01
Via Sacco Pescara (PE),Mediocre,43,--,67,--,--,62,43,--,--,2022-12-31
Via Sacco Pescara (PE),Mediocre,39,--,51,--,--,45,34,--,--,2022-12-30
Via Sacco Pescara (PE),Accettabile,30,--,51,--,--,46,32,--,--,2022-12-29
Via Sacco Pescara (PE),Accettabile,28,--,23,--,--,50,43,--,--,2022-12-28
Via Sacco Pescara (PE),Scadente,53,--,48,--,--,56,38,--,--,2022-12-27
Via Sacco Pescara (PE),Mediocre,46,--,42,--,--,24,18,--,--,2022-12-26
Via Sacco Pescara (PE),Mediocre,37,--,50,--,--,40,28,--,--,2022-12-25
Via Sacco Pescara (PE),Mediocre,37,--,70,--,--,42,31,--,--,2022-12-24
Via Sacco Pescara (PE),Accettabile,32,--,62,--,--,49,30,--,--,2022-12-23
Via Sacco Pescara (PE),Accettabile,29,--,63,--,--,43,26,--,--,2022-12-22
Via Sacco Pescara (PE),Accettabile,30,--,59,--,--,54,40,--,--,2022-12-21
Via Sacco Pescara (PE),Accettabile,27,--,33,--,--,39,32,--,--,2022-12-20
Via Sacco Pescara (PE),Accettabile,25,--,33,--,--,32,57,--,--,2022-12-19
Via Sacco Pescara (PE),Buona,11,--,31,--,--,73,68,--,--,2022-12-18
Via Sacco Pescara (PE),Mediocre,37,--,41,--,--,43,18,--,--,2022-12-17
Via Sacco Pescara (PE),Buona,20,--,38,--,--,15,10,--,--,2022-12-16
Via Sacco Pescara (PE),Accettabile,27,--,44,--,--,29,18,--,--,2022-12-15
Via Sacco Pescara (PE),Accettabile,22,--,57,--,--,55,43,--,--,2022-12-14
Via Sacco Pescara (PE),Buona,14,--,29,--,--,54,45,--,--,2022-12-13
Via Sacco Pescara (PE),Buona,18,--,22,--,--,63,62,--,--,2022-12-12
Via Sacco Pescara (PE),Accettabile,20,--,45,--,--,67,62,--,--,2022-12-11
Via Sacco Pescara (PE),Mediocre,43,--,37,--,--,42,32,--,--,2022-12-10
Via Sacco Pescara (PE),Accettabile,33,--,34,--,--,31,23,--,--,2022-12-09
Via Sacco Pescara (PE),Mediocre,38,--,49,--,--,33,24,--,--,2022-12-08
Via Sacco Pescara (PE),Accettabile,n.d.,--,72,--,--,57,42,--,--,2022-12-07
Via Sacco Pescara (PE),Accettabile,n.d.,--,56,--,--,60,51,--,--,2022-12-06
Via Sacco Pescara (PE),Accettabile,n.d.,--,45,--,--,28,17,--,--,2022-12-05
Via Sacco Pescara (PE),Mediocre,41,--,55,--,--,33,20,--,--,2022-12-04
Via Sacco Pescara (PE),Accettabile,31,--,40,--,--,34,24,--,--,2022-12-03
Via Sacco Pescara (PE),Accettabile,22,--,36,--,--,49,42,--,--,2022-12-02
Via Sacco Pescara (PE),Accettabile,25,--,36,--,--,58,45,--,--,2022-12-01
Via Sacco Pescara (PE),Accettabile,27,--,57,--,--,62,41,--,--,2022-11-30
Via Sacco Pescara (PE),Accettabile,24,--,50,--,--,59,51,--,--,2022-11-29
Via Sacco Pescara (PE),Accettabile,24,--,45,--,--,48,41,--,--,2022-11-28
Via Sacco Pescara (PE),Accettabile,31,--,61,--,--,51,31,--,--,2022-11-27
Via Sacco Pescara (PE),Accettabile,30,--,56,--,--,50,30,--,--,2022-11-26
Via Sacco Pescara (PE),Accettabile,14,--,58,--,--,61,61,--,--,2022-11-25
Via Sacco Pescara (PE),Accettabile,9,--,44,--,--,67,59,--,--,2022-11-24
Via Sacco Pescara (PE),Accettabile,16,--,50,--,--,59,54,--,--,2022-11-23
Via Sacco Pescara (PE),Buona,10,--,20,--,--,59,53,--,--,2022-11-22
Via Sacco Pescara (PE),Accettabile,27,--,38,--,--,38,25,--,--,2022-11-21
Via Sacco Pescara (PE),Accettabile,30,--,50,--,--,60,38,--,--,2022-11-20
Via Sacco Pescara (PE),Accettabile,27,--,40,--,--,50,41,--,--,2022-11-19
Via Sacco Pescara (PE),Accettabile,30,--,56,--,--,42,23,--,--,2022-11-18
Via Sacco Pescara (PE),Accettabile,29,--,46,--,--,56,38,--,--,2022-11-17
Via Sacco Pescara (PE),Accettabile,23,--,42,--,--,45,19,--,--,2022-11-16
Via Sacco Pescara (PE),Accettabile,21,--,33,--,--,56,42,--,--,2022-11-15
Via Sacco Pescara (PE),Accettabile,25,--,33,--,--,55,51,--,--,2022-11-14
Via Sacco Pescara (PE),Accettabile,24,--,43,--,--,63,56,--,--,2022-11-13
Via Sacco Pescara (PE),Accettabile,30,--,72,--,--,80,57,--,--,2022-11-12
Via Sacco Pescara (PE),Accettabile,32,--,67,--,--,76,50,--,--,2022-11-11
Via Sacco Pescara (PE),Accettabile,21,--,64,--,--,68,51,--,--,2022-11-10
Via Sacco Pescara (PE),Accettabile,16,--,66,--,--,76,56,--,--,2022-11-09
Via Sacco Pescara (PE),Accettabile,12,--,41,--,--,68,65,--,--,2022-11-08
Via Sacco Pescara (PE),Buona,10,--,14,--,--,67,66,--,--,2022-11-07
Via Sacco Pescara (PE),Accettabile,23,--,55,--,--,69,55,--,--,2022-11-06
Via Sacco Pescara (PE),Mediocre,37,--,70,--,--,85,69,--,--,2022-11-05
Via Sacco Pescara (PE),Accettabile,31,--,65,--,--,73,61,--,--,2022-11-04
Via Sacco Pescara (PE),Accettabile,29,--,61,--,--,91,71,--,--,2022-11-03
Via Sacco Pescara (PE),Accettabile,28,--,75,--,--,97,74,--,--,2022-11-02
Via Sacco Pescara (PE),Accettabile,27,--,72,--,--,105,89,--,--,2022-11-01
Via Sacco Pescara (PE),Mediocre,38,--,60,--,--,98,79,--,--,2022-10-31
Via Sacco Pescara (PE),Mediocre,42,--,67,--,--,91,76,--,--,2022-10-30
Via Sacco Pescara (PE),Mediocre,48,--,58,--,--,76,64,--,--,2022-10-29
Via Sacco Pescara (PE),Scadente,88,--,65,--,--,80,59,--,--,2022-10-28
Via Sacco Pescara (PE),Accettabile,33,--,50,--,--,63,42,--,--,2022-10-27
Via Sacco Pescara (PE),Accettabile,31,--,50,--,--,68,60,--,--,2022-10-26
Via Sacco Pescara (PE),Accettabile,30,--,52,--,--,80,71,--,--,2022-10-25
Via Sacco Pescara (PE),Accettabile,28,--,55,--,--,77,66,--,--,2022-10-24
Via Sacco Pescara (PE),Accettabile,25,--,73,--,--,76,63,--,--,2022-10-23
Via Sacco Pescara (PE),Accettabile,21,--,70,--,--,85,72,--,--,2022-10-22
Via Sacco Pescara (PE),Accettabile,34,--,68,--,--,105,92,--,--,2022-10-21
Via Sacco Pescara (PE),Accettabile,23,--,67,--,--,98,82,--,--,2022-10-20
Via Sacco Pescara (PE),Accettabile,24,--,75,--,--,89,77,--,--,2022-10-19
Via Sacco Pescara (PE),Accettabile,22,--,53,--,--,90,81,--,--,2022-10-18
Via Sacco Pescara (PE),Accettabile,26,--,56,--,--,98,85,--,--,2022-10-17
Via Sacco Pescara (PE),Accettabile,25,--,62,--,--,93,80,--,--,2022-10-16
Via Sacco Pescara (PE),Accettabile,24,--,53,--,--,69,60,--,--,2022-10-15
Via Sacco Pescara (PE),Accettabile,23,--,57,--,--,89,83,--,--,2022-10-14
Via Sacco Pescara (PE),Accettabile,19,--,49,--,--,82,69,--,--,2022-10-13
Via Sacco Pescara (PE),Accettabile,20,--,58,--,--,96,88,--,--,2022-10-12
