Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Arischia L'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-17
Atessa Atessa (CH),Buona,12,--,--,0.13,--,--,--,0.2,--,2024-06-17
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2024-06-17
Cepagatti ASL Cepagatti (PE),Mediocre,--,--,8,--,--,123,115,0.1,--,2024-06-17
Francavilla Francavilla al mare (CH),Accettabile,13,7,11,--,--,119,110,0.1,--,2024-06-17
Gammarana Teramo (TE),Buona,--,6,n.d.,--,--,--,--,--,--,2024-06-17
Montesilvano Montesilvano (PE),Buona,15,8,23,n.d.,--,--,--,0.2,--,2024-06-17
Ortona Villa Caldari Ortona (CH),Mediocre,n.d.,n.d.,19,0.13,--,127,115,0.0,--,2024-06-17
Porta Reale Teramo (TE),Buona,11,--,23,0.25,--,--,--,0.2,--,2024-06-17
S. Gregorio S. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-17
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,119,114,0.0,406.3,2024-06-17
Scuola Antonelli Chieti Scalo (CH),Mediocre,18,11,24,--,1,126,120,0.1,--,2024-06-17
T. D'Annunzio Pescara (PE),Accettabile,20,7,22,0.55,0,102,94,0.1,--,2024-06-17
Via Amiternum L'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-17
Via Firenze Pescara (PE),Buona,16,8,33,0.41,--,--,--,0.2,--,2024-06-17
Via Sacco Pescara (PE),Mediocre,16,--,41,--,--,125,113,--,--,2024-06-17
Arischia L'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-16
Atessa Atessa (CH),Buona,6,--,--,0.12,--,--,--,0.2,--,2024-06-16
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2024-06-16
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,9,--,--,119,115,0.1,--,2024-06-16
Francavilla Francavilla al mare (CH),Accettabile,13,7,13,--,--,115,111,0.1,--,2024-06-16
Gammarana Teramo (TE),Buona,--,5,n.d.,--,--,--,--,--,--,2024-06-16
Montesilvano Montesilvano (PE),Buona,13,7,14,0.06,--,--,--,0.2,--,2024-06-16
Ortona Villa Caldari Ortona (CH),Accettabile,11,5,12,0.14,--,118,114,0.0,--,2024-06-16
Porta Reale Teramo (TE),Buona,10,--,35,0.25,--,--,--,0.3,--,2024-06-16
S. Gregorio S. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-16
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Mediocre,--,--,1,--,--,123,116,0.0,406.5,2024-06-16
Scuola Antonelli Chieti Scalo (CH),Accettabile,16,10,28,--,3,120,116,0.1,--,2024-06-16
T. D'Annunzio Pescara (PE),Accettabile,18,7,23,0.50,0,101,95,0.1,--,2024-06-16
Via Amiternum L'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-16
Via Firenze Pescara (PE),Buona,13,6,34,0.39,--,--,--,0.2,--,2024-06-16
Via Sacco Pescara (PE),Mediocre,11,--,31,--,--,124,118,--,--,2024-06-16
Arischia L'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-15
Atessa Atessa (CH),Buona,12,--,--,0.12,--,--,--,0.2,--,2024-06-15
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2024-06-15
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,10,--,--,106,103,0.1,--,2024-06-15
Francavilla Francavilla al mare (CH),Accettabile,9,5,16,--,--,103,100,0.1,--,2024-06-15
Gammarana Teramo (TE),Buona,--,5,n.d.,--,--,--,--,--,--,2024-06-15
Montesilvano Montesilvano (PE),Buona,11,5,13,0.03,--,--,--,0.1,--,2024-06-15
Ortona Villa Caldari Ortona (CH),Accettabile,8,5,10,0.27,--,102,100,0.0,--,2024-06-15
Porta Reale Teramo (TE),Buona,11,--,34,0.26,--,--,--,0.2,--,2024-06-15
S. Gregorio S. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-15
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,113,105,0.0,n.d.,2024-06-15
Scuola Antonelli Chieti Scalo (CH),Accettabile,9,5,18,--,1,107,105,0.0,--,2024-06-15
T. D'Annunzio Pescara (PE),Accettabile,13,5,22,0.47,0,87,83,0.1,--,2024-06-15
Via Amiternum L'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-15
Via Firenze Pescara (PE),Buona,11,5,32,0.36,--,--,--,0.2,--,2024-06-15
Via Sacco Pescara (PE),Accettabile,10,--,41,--,--,110,107,--,--,2024-06-15
Arischia L'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-14
Atessa Atessa (CH),Buona,13,--,--,0.11,--,--,--,0.2,--,2024-06-14
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2024-06-14
Cepagatti ASL Cepagatti (PE),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-14
Francavilla Francavilla al mare (CH),Buona,12,4,16,--,--,n.d.,n.d.,0.1,--,2024-06-14
Gammarana Teramo (TE),Buona,--,5,n.d.,--,--,--,--,--,--,2024-06-14
Montesilvano Montesilvano (PE),Buona,14,6,18,n.d.,--,--,--,0.1,--,2024-06-14
Ortona Villa Caldari Ortona (CH),Accettabile,9,5,n.d.,0.28,--,90,84,0.0,--,2024-06-14
Porta Reale Teramo (TE),Buona,15,--,31,0.26,--,--,--,0.2,--,2024-06-14
S. Gregorio S. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-14
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,91,87,0.0,n.d.,2024-06-14
Scuola Antonelli Chieti Scalo (CH),Accettabile,14,8,17,--,1,92,85,0.1,--,2024-06-14
T. D'Annunzio Pescara (PE),Accettabile,16,6,18,0.46,0,81,73,0.1,--,2024-06-14
Via Amiternum L'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-14
Via Firenze Pescara (PE),Buona,17,7,36,0.38,--,--,--,0.2,--,2024-06-14
Via Sacco Pescara (PE),Accettabile,n.d.,--,27,--,--,94,91,--,--,2024-06-14
Arischia L'Aquila (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-13
Atessa Atessa (CH),Accettabile,23,--,--,0.14,--,--,--,0.2,--,2024-06-13
Castel Di Sangro Castel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2024-06-13
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,9,--,--,99,97,0.0,--,2024-06-13
Francavilla Francavilla al mare (CH),Buona,14,6,13,--,--,n.d.,n.d.,0.1,--,2024-06-13
Gammarana Teramo (TE),Buona,--,7,n.d.,--,--,--,--,--,--,2024-06-13
Montesilvano Montesilvano (PE),Buona,16,7,18,n.d.,--,--,--,0.1,--,2024-06-13
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,n.d.,0.09,--,102,96,0.0,--,2024-06-13
Porta Reale Teramo (TE),Buona,14,--,33,0.26,--,--,--,0.2,--,2024-06-13
S. Gregorio S. GREGORIO (AQ),n.d.,--,--,n.d.,--,--,n.d.,n.d.,n.d.,--,2024-06-13
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,102,99,0.0,n.d.,2024-06-13
Scuola Antonelli Chieti Scalo (CH),Accettabile,16,9,17,--,1,100,99,0.0,--,2024-06-13
T. D'Annunzio Pescara (PE),Accettabile,19,6,9,0.42,2,85,82,0.0,--,2024-06-13
Via Amiternum L'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-13
Via Firenze Pescara (PE),Buona,17,8,24,0.39,--,--,--,0.2,--,2024-06-13
Via Sacco Pescara (PE),Accettabile,n.d.,--,24,--,--,105,102,--,--,2024-06-13
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,91,86,0.1,--,2024-06-12
Atessa Atessa (CH),Accettabile,25,--,--,0.13,--,--,--,0.2,--,2024-06-12
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,15,6,17,0.21,--,90,90,--,--,2024-06-12
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,6,--,--,97,93,0.1,--,2024-06-12
Francavilla Francavilla al mare (CH),Accettabile,18,7,11,--,--,102,98,0.1,--,2024-06-12
Gammarana Teramo (TE),Buona,--,7,11,--,--,--,--,--,--,2024-06-12
Montesilvano Montesilvano (PE),Accettabile,22,8,19,n.d.,--,--,--,0.2,--,2024-06-12
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,8,0.07,--,100,99,0.0,--,2024-06-12
Porta Reale Teramo (TE),Buona,16,--,31,0.26,--,--,--,0.2,--,2024-06-12
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,13,--,--,101,99,0.0,--,2024-06-12
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,101,97,0.0,n.d.,2024-06-12
Scuola Antonelli Chieti Scalo (CH),Accettabile,22,10,12,--,1,98,96,0.0,--,2024-06-12
T. D'Annunzio Pescara (PE),Accettabile,24,6,14,0.43,1,82,81,0.0,--,2024-06-12
Via Amiternum L'Aquila (AQ),Accettabile,16,7,14,--,1,98,95,0.0,--,2024-06-12
Via Firenze Pescara (PE),Accettabile,22,9,37,0.39,--,--,--,0.2,--,2024-06-12
Via Sacco Pescara (PE),Accettabile,25,--,19,--,--,106,101,--,--,2024-06-12
Arischia L'Aquila (AQ),Accettabile,--,--,2,--,--,98,94,0.1,--,2024-06-11
Atessa Atessa (CH),Accettabile,23,--,--,0.11,--,--,--,0.1,--,2024-06-11
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,21,8,10,0.20,--,108,107,--,--,2024-06-11
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,106,104,0.0,--,2024-06-11
Francavilla Francavilla al mare (CH),Accettabile,27,10,10,--,--,107,103,0.1,--,2024-06-11
Gammarana Teramo (TE),Buona,--,10,9,--,--,--,--,--,--,2024-06-11
Montesilvano Montesilvano (PE),Accettabile,33,12,16,0.18,--,--,--,0.1,--,2024-06-11
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,11,0.05,--,108,106,0.0,--,2024-06-11
Porta Reale Teramo (TE),Buona,20,--,25,0.32,--,--,--,0.2,--,2024-06-11
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,5,--,--,106,116,0.0,--,2024-06-11
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Mediocre,--,--,1,--,--,122,106,0.0,n.d.,2024-06-11
Scuola Antonelli Chieti Scalo (CH),Accettabile,26,10,9,--,2,104,103,0.0,--,2024-06-11
T. D'Annunzio Pescara (PE),Accettabile,32,9,16,0.39,0,94,89,0.0,--,2024-06-11
Via Amiternum L'Aquila (AQ),Accettabile,20,8,10,--,1,102,107,0.0,--,2024-06-11
Via Firenze Pescara (PE),Accettabile,30,13,21,0.50,--,--,--,0.2,--,2024-06-11
